s2,2_Loc,2_Length,2_end
449,1,23144,23145
448,23145,15697,38842
447,38842,1751,40593
D446,40593,1566,42159
445,42918,11437,54355
444,54355,2624,56979
443,56979,2131,59110
D902,60228,3294,63522
D985,63522,1538,65060
441,65238,3241,68479
440,68507,2419,70926
427,70954,1495,72449
426,73289,13812,87101
425,87101,10042,97143
IN,93286,1293,94579
424,97143,3651,100794
423,101682,9073,110755
422,110755,2436,113191
421,113191,18794,131985
420,131985,1367,133352
419,133352,11482,144834
418,144842,8076,152918
417,152918,18413,171331
416,171823,30558,202381
415,202381,10556,212937
414,212937,15407,228344
411,228344,24665,253009
410,253606,17154,270760
D409,270760,23715,294475
408,294475,2059,296534
407,296534,28320,324854
R754,296534,,296534
406,324854,35872,360726
405,360726,2610,363336
404,363336,9961,373297
R456,373297,60,373357
387,373534,13388,386922
386,386922,2430,389352
385,389352,44651,434003
384,434003,1170,435173
383,435173,8401,443574
381,443696,15987,459683
380,459683,2909,462592
379,462592,32352,494944
D378,494944,3158,498102
D377,498102,2595,500697
D376,500753,15385,516138
D375,516840,2371,519211
D374,520021,9218,529239
D373,529239,3377,532616
D372,532770,6457,539227
D442,539408,225,539633
D966,539633,1402,541035
D371,541035,26039,567074
D370,567074,15145,582219
D369,582219,16914,599133
D368,599133,1845,600978
D367,600978,1956,602934
D366,602934,5649,608583
D365,608583,6070,614653
D364,614653,1299,615952
D363,615952,10664,626616
D362,626616,13432,640048
D361,640048,5626,645674
D360,645674,1182,646856
D359,646859,6175,653034
D358,653034,1875,654909
D357,654909,18362,673271
D356,673271,6452,679723
D355,679723,1844,681567
D354,681567,7372,688939
D353,688939,13159,702098
D352,702098,16473,718571
D351,718571,16952,735523
D350,736463,7196,743659
D349,743659,12166,755825
348,755825,6108,761933
347,761933,56419,818352
D800,818366,1501,819867
D773,819867,1865,821732
D812,821748,1330,823078
D780,823078,1351,824429
D782,824429,1137,825566
D725,826264,9133,835397
D724,835397,18958,854355
D752,854355,2190,856545
D723,856545,29071,885616
D794,885619,762,886381
D346,886381,4163,890544
D946,890544,2194,892738
TSP,892449,311,892760
D344,892800,92,892892
D882,893001,282,893283
