s15,15_Loc,15_length,15_end
1,483,6488,6971
D683,7044,881,7925
D851,8221,5676,13897
2,13897,10409,24306
3,24306,12817,37123
4,37526,1039,38565
5,39079,9357,48436
6,48436,4144,52580
D9,51001,3135,54136
8,55756,2181,57937
R570,57127,810,57937
D793,58673,1665,60338
D11,61184,559,61743
14,61846,321,62167
15,62167,24250,86417
16,86417,1060,87477
17,88394,2966,91360
18,92077,26013,118090
19,118090,2627,120717
20,120717,6747,127464
21,127464,19046,146510
22,146510,5590,152100
23,152100,46229,198329
24,198329,34296,232625
25,232625,2806,235431
26,235431,51797,287228
D28,288432,7687,296119
D29,296200,1080,297280
30,297769,3966,301735
31,301735,1217,302952
32,302952,7700,310652
33,310652,1242,311894
34,311894,8215,320109
35,320109,1002,321111
36,321111,1386,322497
37,322497,9633,332130
38,332130,25006,357136
39,357136,8103,365239
40,367272,6934,374206
41,374206,3245,377451
42,377451,2280,379731
43,379731,21802,401533
44,401880,19162,421042
45,421042,31913,452955
46,452955,7419,460374
47,460374,38357,498731
48,498731,33884,532615
49,533185,14255,547440
50,547440,23133,570573
51,570573,9280,579853
52,579853,1839,581692
53,581692,14730,596422
54,597391,14210,611601
55,612372,19479,631851
D916,632140,1452,633592
D719,633783,326,634109
56,635572,51216,686788
D57,686788,1903,688691
D58,688692,1977,690669
59,690922,8997,699919
D550,699919,2944,702863
D887,703345,315,703660
D778,703660,4591,708251
60,708251,18604,726855
D61,727068,1146,728214
D62,728662,1342,730004
D63,731354,1048,732402
577,732543,9741,742284
576,742284,66,742350
575,742350,10313,752663
D822,752671,1125,753796
573,753796,2338,756134
D739,757119,4173,761292
D817,761900,1172,763072
570,763367,27054,790421
D880,790542,3171,793713
D878,794313,241,794554
D777,795292,1539,796831
D791,796831,2662,799493
D564,799640,1172,800812
D895,801059,730,801789
D870,801789,968,802757
569,802757,1547,804304
R1165,802757,,802757
568,804304,1084,805388
567,806154,27468,833622
566,833622,67482,901104
D565,901104,1201,902305
D563,902852,807,903659
D940,903659,1462,905121
R532,905123,67,905190
547,905166,3254,908420
546,909257,1263,910520
545,910520,48578,959098
544,959098,4128,963226
543,963226,26644,989870
542,989870,9055,998925
541,999441,4011,1003452
D848,1005439,221,1005660
D975,1005660,1492,1007152
D553,1026873,2131,1029004
D552,1029004,6305,1035309
D551,1035309,2225,1037534
D549,1037853,1100,1038953
D548,1039973,1218,1041191
540,1042892,2389,1045281
539,1045281,27419,1072700
538,1072700,15116,1087816
537,1087816,15808,1103624
r354,1103575,45,1103620
D530,1105869,1408,1107277
D818,1107907,3405,1111312
D345,1111325,1021,1112346
R5,1112145,395,1112540
515,1112856,2375,1115231
514,1115231,2868,1118099
513,1118099,3251,1121350
512,1121350,18775,1140125
R808,1140061,63,1140124
497,1140182,20624,1160806
496,1160806,2037,1162843
495,1162843,2544,1165387
494,1165388,21514,1186902
493,1186902,39026,1225928
491,1226174,10912,1237086
490,1237086,6107,1243193
489,1243193,1158,1244351
488,1244351,4141,1248492
487,1248492,14261,1262753
486,1263743,2450,1266193
D485,1266193,1269,1267462
484,1267462,10486,1277948
483,1277948,1334,1279282
482,1279282,6518,1285800
D846,1286560,1415,1287975
D696,1288823,1217,1290040
478,1291834,27216,1319050
477,1319542,1577,1321119
473,1321119,15027,1336146
472,1336146,22705,1358851
D471,1358851,1479,1360330
470,1360330,10401,1370731
468,1370805,2704,1373509
467,1374316,5276,1379592
466,1379592,6726,1386318
465,1386318,4573,1390891
464,1390891,14106,1404997
463,1404997,13937,1418934
462,1418934,1432,1420366
461,1420366,2352,1422718
452,1422718,24335,1447053
451,1447053,7461,1454514
450,1454514,8098,1462612
449,1462612,23146,1485758
448,1485758,15710,1501468
447,1501468,1751,1503219
D446,1503219,1566,1504785
445,1505544,11437,1516981
444,1516981,2622,1519603
443,1519603,2131,1521734
D932,1522854,1631,1524485
441,1524673,3241,1527914
D835,1527945,6962,1534907
440,1534979,2481,1537460
439,1537478,33235,1570713
438,1570713,14018,1584731
437,1584731,1393,1586124
436,1586124,5544,1591668
D775,1594464,9294,1603758
434,1603758,21127,1624885
433,1624885,52929,1677814
432,1677814,1275,1679089
431,1679089,1434,1680523
430,1680523,10491,1691014
429,1691014,7229,1698243
428,1698243,8013,1706256
427,1706256,1380,1707636
426,1708476,13695,1722171
425,1722171,2348,1724519
424,1724519,3690,1728209
423,1729097,9075,1738172
422,1738172,2436,1740608
421,1740608,18795,1759403
420,1759403,1367,1760770
419,1760770,11483,1772253
418,1772261,8077,1780338
417,1780338,18418,1798756
416,1799249,30559,1829808
415,1829808,10555,1840363
414,1840363,15406,1855769
411,1855769,24668,1880437
410,1881034,17145,1898179
D409,1898179,23715,1921894
408,1921894,2059,1923953
407,1923953,28322,1952275
R754,1923953,,1923953
406,1952275,36084,1988359
405,1988359,2610,1990969
404,1990969,9963,2000932
r456,2000932,60,2000992
387,2001169,13395,2014564
386,2014564,2430,2016994
385,2016994,44651,2061645
384,2061645,1170,2062815
383,2062815,8402,2071217
381,2071339,15985,2087324
380,2087324,2908,2090232
379,2090232,33728,2123960
D378,2123960,3159,2127119
D377,2127119,2595,2129714
D376,2129770,16824,2146594
D375,2147296,2371,2149667
D374,2150477,9222,2159699
D373,2159699,3377,2163076
D372,2163230,6463,2169693
D922,2169871,1809,2171680
D875,2171681,2885,2174566
D371,2174573,26021,2200594
D370,2200594,15145,2215739
D369,2215739,16918,2232657
D368,2232657,1845,2234502
D367,2234502,1956,2236458
D366,2236458,5640,2242098
D365,2242098,6071,2248169
D364,2248169,1299,2249468
D363,2249468,10660,2260128
