s21,21_Loc,21_length,21_end
D723,1,29085,29086
D794,29088,763,29851
D346,29851,4444,34295
D873,34295,125,34420
D341,34470,1851,36321
340,38090,70656,108746
D339,109713,6186,115899
338,115899,1452,117351
D337,118179,6379,124558
D336,124558,5236,129794
335,129794,12180,141974
334,142332,1103,143435
333,143435,8656,152091
332,152962,1200,154162
331,154164,3495,157659
D728,157670,6572,164242
330,164244,1143,165387
329,165387,13756,179143
328,179143,8842,187985
327,189209,1086,190295
326,190297,16228,206525
D325,206525,1919,208444
324,208446,30638,239084
D323,239084,7945,247029
D322,247029,4752,251781
D321,251781,335,252116
D320,252116,1146,253262
319,253299,3421,256720
R316,256720,,256720
D318,256720,5948,262668
D317,263750,1296,265046
D316,265046,2201,267247
D314,267247,1936,269183
313,269185,2656,271841
312,271841,12827,284668
311,285490,2387,287877
310,289036,2123,291159
309,291159,13029,304188
308,304188,19343,323531
307,323531,16889,340420
D855,340516,1197,341713
D666,341828,1655,343483
R4,343483,198,343681
D304,343738,1982,345720
298,349422,13596,363018
297,363018,12127,375145
296,375145,7762,382907
295,382907,10101,393008
294,393434,35828,429262
293,429262,1350,430612
292,430612,2349,432961
291,432961,20098,453059
290,453061,1128,454189
289,454191,19670,473861
D288,473861,1004,474865
R396,474799,81,474880
287,474865,11131,485996
286,485996,1414,487410
285,487904,2520,490424
D284,490424,1010,491434
282,492056,7612,499668
D281,499668,2652,502320
280,503246,2086,505332
D279,505332,11144,516476
278,516476,4399,520875
277,520875,1398,522273
276,522274,3389,525663
275,525664,2415,528079
274,528079,39438,567517
273,567709,12250,579959
272,579959,1179,581138
271,581139,9616,590755
270,590755,15139,605894
269,605894,12569,618463
268,618463,36832,655295
267,655304,10302,665606
D729,666048,14357,680405
D958,680668,1400,682068
262,682996,2379,685375
261,685375,8636,694011
246,694011,18308,712319
245,712319,9296,721615
244,721615,15004,736619
D243,736619,205,736824
r883,736807,37,736844
242,736827,18967,755794
D241,755794,4923,760717
D240,760717,1995,762712
213,762880,2358,765238
212,766131,42704,808835
211,808835,52093,860928
210,861521,6474,867995
209,867995,6116,874111
208,874730,12280,887010
207,887011,1017,888028
206,888029,5514,893543
205,893543,1053,894596
204,894596,5262,899858
203,899858,5780,905638
202,905638,7043,912681
201,912681,1245,913926
200,913927,17427,931354
199,931354,43703,975057
198,975057,9330,984387
197,984387,29302,1013689
196,1014678,5469,1020147
195,1020147,2845,1022992
D194,1022992,1126,1024118
D805,1024118,1505,1025623
193,1025678,35598,1061276
192,1061276,1406,1062682
191,1062682,8942,1071624
190,1072014,11031,1083045
189,1083706,14349,1098055
188,1098575,21450,1120025
187,1120025,24013,1144038
186,1144038,1077,1145115
185,1145115,8594,1153709
184,1153709,1161,1154870
183,1154870,28159,1183029
182,1183029,11027,1194056
181,1194056,9152,1203208
180,1203208,27816,1231024
179,1231024,1270,1232294
178,1232606,35664,1268270
177,1268270,11616,1279886
176,1279886,58727,1338613
175,1338613,3725,1342338
174,1342338,1716,1344054
173,1344054,14002,1358056
172,1359257,1158,1360415
171,1360415,2456,1362871
D170,1362871,2287,1365158
D667,1366111,2309,1368420
D665,1368852,1215,1370067
166,1371289,38889,1410178
165,1411164,15151,1426315
