s9,9_Loc,9_length,9_end
1,483,6314,6797
2,6797,10471,17268
3,17268,12817,30085
4,30488,1039,31527
5,32041,9353,41394
6,41394,4144,45538
7,45538,3241,48779
8,48779,2181,50960
R570,49691,794,50485
D12,51227,1065,52292
TSP,54216,702,54918
D11,55196,559,55755
14,55896,283,56179
15,56179,24249,80428
16,80428,1060,81488
17,82405,2966,85371
18,86088,25974,112062
19,112062,2627,114689
20,114689,6747,121436
21,121436,19054,140490
22,140490,5590,146080
23,146080,46231,192311
24,192311,34288,226599
25,226599,2806,229405
26,229405,51848,281253
TSP,281327,204,281531
TSP,282146,315,282461
D28,282460,7687,290147
D29,290228,1080,291308
30,291797,3966,295763
31,295763,1217,296980
32,296980,7700,304680
33,304680,1242,305922
34,305922,8215,314137
35,314137,1004,315141
36,315141,1386,316527
37,316527,9659,326186
38,326186,25087,351273
39,351277,8103,359380
40,361413,7689,369102
41,369102,3245,372347
42,372347,2280,374627
43,374627,21790,396417
44,396764,19189,415953
45,415953,31909,447862
46,447862,7419,455281
47,455281,38304,493585
48,493585,34234,527819
49,528389,14254,542643
50,542643,24212,566855
51,566855,9280,576135
52,576135,1839,577974
53,577974,14730,592704
54,593673,14210,607883
55,608654,12617,621271
IN,621268,138,621406
56,621605,51250,672855
D57,672855,1903,674758
D58,674759,1977,676736
59,676989,3421,680410
60,680410,18604,699014
D61,699227,1146,700373
D62,700821,1342,702163
D63,703513,1047,704560
64,705605,17452,723057
65,723057,7762,730819
66,731150,6507,737657
67,737657,1002,738659
68,738659,7786,746445
69,746445,9844,756289
70,756289,5373,761662
71,761662,8567,770229
72,770229,1223,771452
73,771452,1855,773307
D74,773307,3386,776693
75,776693,10787,787480
76,787480,2503,789983
77,789984,1056,791040
78,791041,1639,792680
79,792680,4360,797040
80,797040,2277,799317
81,799989,8806,808795
D82,808795,2126,810921
D83,810921,2578,813499
D84,813499,4735,818234
D85,820032,2139,822171
D86,822171,8237,830408
D87,830408,4410,834818
D88,834818,7948,842766
D89,842766,21097,863863
D90,863913,1243,865156
D91,865157,16859,882016
92,882016,15242,897258
93,897258,7246,904504
D735,904504,4104,908608
95,909577,17558,927135
96,927882,3673,931555
97,932057,2557,934614
D98,934614,1604,936218
99,936218,15149,951367
100,951367,20159,971526
101,971526,13205,984731
102,984731,1585,986316
103,986316,9036,995352
104,995352,1678,997030
105,997660,14443,1012103
106,1012105,1144,1013249
107,1013250,7022,1020272
108,1020583,17880,1038463
109,1038463,2388,1040851
110,1040851,10977,1051828
111,1051828,382,1052210
112,1052210,2073,1054283
113,1054283,61,1054344
114,1054344,7266,1061610
115,1062190,1351,1063541
116,1063541,45838,1109379
117,1109379,3310,1112689
118,1112689,4164,1116853
119,1116853,27072,1143925
120,1143925,17014,1160939
122,1161109,8462,1169571
123,1169571,2208,1171779
124,1172264,10942,1183206
125,1183206,7979,1191185
126,1191185,13033,1204218
127,1204218,2482,1206700
R846,1206704,94,1206798
128,1206781,58299,1265080
129,1265192,25892,1291084
130,1291084,21535,1312619
136,1312619,10252,1322871
137,1322871,1716,1324587
138,1324587,9749,1334336
139,1334336,5007,1339343
140,1339345,1674,1341019
141,1341021,22813,1363834
142,1363834,1142,1364976
143,1364976,2638,1367614
144,1367615,8489,1376104
145,1376104,3078,1379182
146,1379182,12516,1391698
D401,1391698,4342,1396040
IN,1391705,1104,1392809
D948,1396114,425,1396539
D850,1396555,5725,1402280
D559,1402741,3234,1405975
D934,1405980,1191,1407171
D915,1408773,816,1409589
D1002,1409598,60,1409658
D553,1409949,1068,1411017
D905,1411017,1233,1412250
D738,1412250,13035,1425285
D894,1427545,1831,1429376
D826,1429376,2016,1431392
D983,1432466,1580,1434046
147,1434382,19254,1453636
148,1453637,1063,1454700
149,1454700,9455,1464155
150,1465484,5065,1470549
151,1470549,13027,1483576
152,1483576,34901,1518477
153,1518477,10213,1528690
D941,1529593,915,1530508
154,1530508,5028,1535536
155,1535536,11786,1547322
156,1547322,49802,1597124
157,1597125,3162,1600287
158,1600288,2068,1602356
159,1602551,6550,1609101
160,1609101,27544,1636645
161,1636732,1342,1638074
162,1638076,3724,1641800
D841,1641800,4148,1645948
D133,1645948,21904,1667852
D134,1667852,1845,1669697
D135,1669697,7615,1677312
D460,1677312,906,1678218
163,1678755,30337,1709092
164,1709092,8065,1717157
165,1717157,15151,1732308
166,1733295,38885,1772180
D665,1773731,729,1774460
D667,1774892,2309,1777201
D954,1777217,1100,1778317
D683,1778519,819,1779338
TSP,1778521,248,1778769
TSP,1778882,741,1779623
D170,1779667,2820,1782487
171,1782487,2456,1784943
172,1784943,1158,1786101
173,1787302,14003,1801305
174,1801305,1716,1803021
175,1803021,3725,1806746
176,1806746,58707,1865453
177,1865453,10735,1876188
178,1876188,36406,1912594
179,1912906,1270,1914176
180,1914176,27817,1941993
181,1941993,9212,1951205
182,1951205,11039,1962244
183,1962244,28144,1990388
184,1990388,1161,1991549
185,1991549,8592,2000141
186,2000141,1077,2001218
187,2001218,24014,2025232
188,2025232,21449,2046681
189,2047201,14394,2061595
190,2062259,11023,2073282
191,2073672,8942,2082614
192,2082614,1405,2084019
193,2084020,32409,2116429
D805,2116484,1505,2117989
D194,2117989,1126,2119115
195,2119115,2845,2121960
196,2121960,5469,2127429
197,2128420,29299,2157719
198,2157719,9333,2167052
199,2167052,43680,2210732
200,2210732,17425,2228157
201,2228157,1245,2229402
202,2229403,7042,2236445
203,2236445,5784,2242229
204,2242233,5254,2247487
205,2247487,1053,2248540
206,2248540,5514,2254054
207,2254055,1017,2255072
208,2255073,12278,2267351
209,2267970,6120,2274090
210,2274090,6477,2280567
211,2281160,52069,2333229
212,2333229,42709,2375938
213,2376831,2356,2379187
D240,2379355,2007,2381362
D241,2381362,4916,2386278
242,2386278,18975,2405253
R883,2405237,37,2405274
D243,2405256,205,2405461
244,2405461,17252,2422713
245,2422713,9295,2432008
246,2432008,18309,2450317
261,2450317,8635,2458952
262,2458953,2379,2461332
D266,2462932,1020,2463952
TSP,2462986,264,2463250
TSP,2463282,843,2464125
D27,2464041,5900,2469941
D1004,2470369,1361,2471730
D796,2472705,7817,2480522
D745,2480522,16004,2496526
IN,2496410,1458,2497868
D729,2496535,1543,2498078
D848,2498078,2290,2500368
IN,2498189,1113,2499302
D552,2500368,1594,2501962
TSP,2502016,843,2502859
D265,2502101,289,2502390
D345,2502436,774,2503210
TSP,2502891,264,2503155
D847,2503225,2916,2506141
TSP,2506215,309,2506524
D479,2506902,181,2507083
267,2507084,10255,2517339
268,2517384,33775,2551159
269,2551159,8251,2559410
270,2559410,13326,2572736
271,2572736,9615,2582351
272,2582352,1179,2583531
273,2583531,12250,2595781
D814,2595835,1502,2597337
274,2597337,39437,2636774
275,2636774,2415,2639189
276,2639190,3390,2642580
277,2642580,1398,2643978
278,2643979,5755,2649734
IN,2648298,1068,2649366
D921,2650623,1381,2652004
D947,2652004,92,2652096
D877,2652780,812,2653592
D788,2653592,3564,2657156
D943,2657737,2223,2659960
D509,2659960,1148,2661108
D394,2661108,1324,2662432
D842,2662432,3380,2665812
D393,2666478,1348,2667826
D392,2669043,2246,2671289
D506,2671289,4983,2676272
D391,2676272,3319,2679591
D505,2679591,400,2679991
D1012,2680038,1230,2681268
D503,2681369,3317,2684686
D999,2685381,1405,2686786
D501,2687387,668,2688055
D500,2688189,3655,2691844
D901,2692291,3325,2695616
D388,2696708,887,2697595
D862,2697597,502,2698099
D279,2698368,11144,2709512
D869,2709512,2270,2711782
D520,2712151,935,2713086
280,2713086,30254,2743340
D281,2744266,2652,2746918
282,2746918,7612,2754530
D214,2754534,1974,2756508
IN,2754733,1944,2756677
D732,2756657,40928,2797585
D221,2797587,2783,2800370
IN,2799039,627,2799666
D222,2800911,4702,2805613
D223,2805651,179,2805830
D224,2805830,9098,2814928
D225,2807850,7031,2814881
D756,2814928,6207,2821135
D836,2821135,1624,2822759
D227,2822760,5528,2828288
D228,2828288,176,2828464
D229,2828504,1245,2829749
D230,2829749,5055,2834804
D996,2835517,1017,2836534
D803,2835842,492,2836334
D231,2836536,116,2836652
D232,2836655,1122,2837777
D896,2837777,894,2838671
D529,2838671,546,2839217
TSP,2838704,519,2839223
D528,2839222,240,2839462
D258,2839689,1422,2841111
