s18,18_Loc,18_length,18_end
1,482,6328,6810
2,6810,8838,15648
3,17243,12735,29978
4,30380,1040,31420
5,31933,9279,41212
7,44875,3722,48597
D793,51514,1398,52912
D11,53213,1372,54585
D13,55486,573,56059
D923,56285,691,56976
15,57125,18977,76102
IN,76186,2355,78541
IN,78537,2103,80640
IN,82403,867,83270
D260,90077,2129,92206
IN,98024,2166,100190
D909,103584,977,104561
IN,106465,1854,108319
D258,111842,4348,116190
D259,116190,165,116355
D694,117346,9002,126348
TSP,118179,2994,121173
TSP,124955,1272,126227
D774,137375,2607,139982
TSP,137571,804,138375
TSP,138367,1509,139876
TSP,140943,207,141150
D249,150724,196,150920
TSP,150805,285,151090
16,151108,943,152051
17,152968,2966,155934
18,156651,25871,182522
19,183848,1777,185625
20,185625,4944,190569
21,192324,19436,211760
22,211760,5620,217380
23,217380,46129,263509
24,263509,32151,295660
25,295660,5044,300704
D786,300704,4009,304713
26,304713,47515,352228
30,352262,3954,356216
31,356216,1218,357434
32,357434,5531,362965
33,362965,2011,364976
D679,364976,8650,373626
34,373626,10371,383997
IN,374267,1410,375677
35,383997,1002,384999
36,384999,1386,386385
37,386385,9589,395974
38,395974,25093,421067
39,421071,5030,426101
40,427407,7674,435081
41,435081,3246,438327
42,438327,2280,440607
43,440607,20968,461575
44,461922,19705,481627
D535,481667,105,481772
TSP,481723,882,482605
D808,481772,1137,482909
D1014,487115,1213,488328
45,488635,31905,520540
46,520540,7377,527917
47,527917,38287,566204
48,566204,34083,600287
49,600856,12057,612913
50,612913,20883,633796
51,633796,9280,643076
52,643076,1839,644915
53,644915,14702,659617
54,660586,14213,674799
55,675570,12276,687846
IN,687843,150,687993
IN,716741,1185,717926
56,717914,47099,765013
D57,768240,1906,770146
D58,770147,470,770617
59,772247,9156,781403
D550,781403,2944,784347
D887,784829,225,785054
D778,786530,462,786992
60,788135,18632,806767
D61,806980,1131,808111
D62,808559,1340,809899
D63,811249,1047,812296
64,813340,17454,830794
65,830794,7763,838557
66,838888,6507,845395
67,845395,1002,846397
68,846397,7776,854173
69,854173,9837,864010
70,864010,5373,869383
71,869383,6852,876235
72,876235,1223,877458
73,877458,1991,879449
D74,879449,3391,882840
75,882840,10554,893394
76,894009,2220,896229
77,896230,1056,897286
78,897287,1655,898942
79,898942,4299,903241
80,903241,2276,905517
81,906200,1293,907493
D83,908694,1039,909733
D84,911728,4736,916464
D85,919862,1705,921567
D86,922678,4135,926813
D87,928285,4895,933180
D89,933420,18911,952331
D90,952381,1243,953624
D91,953624,16891,970515
92,970515,15218,985733
93,986869,7030,993899
D735,993899,4074,997973
95,999082,13576,1012658
96,1014701,3337,1018038
97,1020766,304,1021070
99,1024518,14676,1039194
100,1039194,20088,1059282
101,1064818,13156,1077974
102,1077974,1493,1079467
103,1079467,9056,1088523
104,1088523,1663,1090186
105,1090816,14460,1105276
106,1105278,1144,1106422
107,1106423,7038,1113461
108,1113461,17934,1131395
109,1131395,2388,1133783
110,1133783,10288,1144071
111,1144071,382,1144453
112,1144453,2073,1146526
113,1146526,61,1146587
114,1146587,6512,1153099
115,1153679,1345,1155024
116,1155024,44878,1199902
117,1199902,3224,1203126
D941,1204502,337,1204839
D903,1204962,177,1205139
118,1205394,4025,1209419
119,1209598,23353,1232951
120,1232951,16977,1249928
122,1250098,8477,1258575
691,1259298,324,1259622
429,1259622,2681,1262303
D28,1262303,5034,1267337
123,1268791,2107,1270898
124,1271383,9416,1280799
125,1287397,6421,1293818
126,1293818,8807,1302625
127,1302625,1479,1304104
D898,1304889,81,1304970
R846,1304903,94,1304997
128,1304970,56062,1361032
129,1361033,21338,1382371
130,1382371,20545,1402916
136,1402916,10247,1413163
137,1413163,1716,1414879
138,1414879,9673,1424552
139,1439897,4974,1444871
140,1444873,1674,1446547
141,1446549,22760,1469309
142,1469309,1137,1470446
143,1470446,2638,1473084
144,1473085,8489,1481574
145,1481574,3078,1484652
146,1484652,12462,1497114
147,1497114,19160,1516274
148,1516275,1063,1517338
149,1517338,9468,1526806
150,1528126,5072,1533198
151,1533198,13021,1546219
152,1546219,34873,1581092
D373,1581092,2322,1583414
153,1583428,10065,1593493
154,1593493,4925,1598418
155,1598418,11849,1610267
156,1610267,49718,1659985
157,1659986,3168,1663154
158,1663154,1407,1664561
159,1665692,6197,1671889
160,1671889,27644,1699533
161,1699620,1342,1700962
162,1700964,3482,1704446
163,1704446,29560,1734006
164,1734006,8064,1742070
165,1742070,15207,1757277
166,1758267,38029,1796296
171,1796566,2647,1799213
172,1799213,1158,1800371
173,1801034,14902,1815936
174,1815936,1716,1817652
175,1817652,3723,1821375
176,1821375,42023,1863398
177,1863398,6328,1869726
178,1869758,33301,1903059
179,1903371,1270,1904641
180,1904641,27870,1932511
181,1932511,9146,1941657
182,1941657,11032,1952689
183,1952689,28098,1980787
184,1980787,1161,1981948
185,1981948,8278,1990226
186,1990226,1077,1991303
187,1991303,11761,2003064
D765,2003097,16991,2020088
188,2020206,24420,2044626
189,2048085,14319,2062404
