s1,1_Loc,1_Length,1_end
1,483,6325,6808
2,6808,10525,17333
3,17333,12816,30149
4,30552,1039,31591
5,32105,9354,41459
6,41459,4144,45603
7,45603,3242,48845
8,48845,2182,51027
R570,50216,810,51026
D9,51027,3227,54254
D10,54254,764,55018
D11,55162,47,55209
R570,55894,810,56704
D12,57445,1874,59319
D13,59332,30,59362
TSP,59374,741,60115
TSP,60228,309,60537
14,60622,379,61001
15,61001,24245,85246
16,85246,1060,86306
17,87223,2966,90189
18,90906,26007,116913
19,116913,2956,119869
20,119869,4965,124834
21,124834,21055,145889
22,145889,5590,151479
23,151479,47144,198623
24,198623,34288,232911
25,232911,2806,235717
26,235717,50893,286610
D27,288177,114,288291
D28,289059,7767,296826
D29,296826,1080,297906
30,298395,3958,302353
31,302353,1217,303570
32,303570,7700,311270
33,311270,1242,312512
34,312512,8215,320727
35,320727,1002,321729
36,321729,1386,323115
37,323115,9659,332774
38,332774,25093,357867
39,357867,8103,365970
40,368003,7688,375691
41,375691,3245,378936
42,378936,2280,381216
43,381216,21793,403009
44,403356,19777,423133
45,423133,31915,455048
46,455048,7431,462479
47,462479,38299,500778
48,500778,33698,534476
49,535046,14243,549289
50,549289,21401,570690
51,570690,9280,579970
52,579970,1839,581809
53,581809,14730,596539
54,597508,14212,611720
55,612491,12616,625107
56,625442,51138,676580
D57,676580,1903,678483
D58,678484,1977,680461
59,680714,3421,684135
60,684135,18611,702746
D61,702959,1146,704105
D62,704553,1341,705894
D63,707244,1047,708291
64,709335,17452,726787
65,726787,7762,734549
66,734880,6505,741385
67,741385,1002,742387
68,742387,7780,750167
69,750167,9844,760011
70,760011,5373,765384
71,765384,8566,773950
72,773950,1223,775173
73,775173,1806,776979
D74,776979,3391,780370
75,780370,10791,791161
76,791161,2503,793664
77,793665,1056,794721
78,794722,1655,796377
79,796377,4360,800737
80,800737,2277,803014
81,803689,4554,808243
D82,808243,2127,810370
D83,810370,2579,812949
D84,812949,4720,817669
D85,819467,2136,821603
D86,821603,8235,829838
D87,829838,4394,834232
D88,834232,7117,841349
D89,841349,21097,862446
D90,862496,1243,863739
D91,863740,16859,880599
92,880599,15245,895844
93,895844,4783,900627
D94,900627,1997,902624
95,903593,17545,921138
96,921885,3679,925564
97,926066,2557,928623
D98,928623,1604,930227
99,930227,15702,945929
100,945929,20044,965973
101,965973,13205,979178
102,979178,1585,980763
103,980763,9036,989799
104,989799,1678,991477
105,992107,14443,1006550
106,1006552,1144,1007696
107,1007697,7019,1014716
108,1015042,17987,1033029
109,1033029,2388,1035417
110,1035417,10977,1046394
111,1046394,382,1046776
112,1046776,2073,1048849
113,1048849,61,1048910
114,1048910,7266,1056176
115,1056756,1351,1058107
116,1058107,47481,1105588
117,1105588,3310,1108898
118,1108898,4164,1113062
119,1113062,26588,1139650
120,1139650,17103,1156753
D121,1156863,2302,1159165
122,1159168,8463,1167631
123,1167631,2210,1169841
124,1170326,12824,1183150
125,1183150,6558,1189708
126,1189708,10596,1200304
127,1200304,1537,1201841
R846,1202088,94,1202182
128,1202164,56080,1258244
129,1258245,21386,1279631
130,1279631,22287,1301918
D131,1301918,3214,1305132
D132,1305336,23875,1329211
D133,1329211,531,1329742
D134,1329742,1187,1330929
D135,1331764,7628,1339392
136,1340830,10252,1351082
137,1351082,1716,1352798
138,1352798,9731,1362529
139,1362529,5005,1367534
140,1367536,1674,1369210
141,1369212,22820,1392032
142,1392032,1143,1393175
143,1393175,2638,1395813
144,1395814,8488,1404302
145,1404302,3078,1407380
146,1407380,12475,1419855
147,1419855,19204,1439059
148,1439060,1063,1440123
149,1440123,9444,1449567
150,1450896,5065,1455961
151,1455961,13027,1468988
152,1468988,34902,1503890
153,1503890,10167,1514057
154,1514057,5612,1519669
155,1519669,11787,1531456
156,1531456,49816,1581272
157,1581273,3162,1584435
158,1584436,2057,1586493
159,1586688,6550,1593238
160,1593238,34731,1627969
161,1628056,1342,1629398
162,1629399,3429,1632828
163,1632828,30514,1663342
164,1663342,8064,1671406
165,1671406,15150,1686556
166,1687543,38870,1726413
TSP,1727026,741,1727767
D167,1727031,280,1727311
D168,1727319,508,1727827
TSP,1727880,309,1728189
D169,1727926,303,1728229
D170,1728292,936,1729228
171,1729499,2648,1732147
172,1732147,1158,1733305
173,1733969,15166,1749135
174,1749135,1716,1750851
175,1750851,3725,1754576
176,1754576,58729,1813305
177,1813305,11617,1824922
178,1824922,35524,1860446
179,1860758,1270,1862028
180,1862028,49346,1911374
181,1911374,14049,1925423
182,1925423,11029,1936452
183,1936452,28165,1964617
184,1964617,1161,1965778
185,1965778,8591,1974369
186,1974369,1077,1975446
187,1975446,15613,1991059
188,1991059,28071,2019130
189,2019650,14409,2034059
190,2034711,11024,2045735
191,2046125,8933,2055058
192,2055058,1405,2056463
193,2056464,35604,2092068
D194,2092407,223,2092630
195,2092630,2845,2095475
196,2095475,5469,2100944
197,2101935,29303,2131238
198,2131238,9332,2140570
199,2140570,43674,2184244
200,2184244,17442,2201686
