s10,10_Loc,10_length,10_end
1,483,6325,6808
2,6808,10553,17361
3,17361,12816,30177
4,30580,1039,31619
5,32133,9354,41487
6,41487,4144,45631
7,45631,3242,48873
8,48873,2182,51055
R570,50244,810,51054
D793,51696,1398,53094
D10,54282,764,55046
D11,55190,47,55237
R570,55937,810,56747
D12,57473,1874,59347
D13,59360,30,59390
TSP,59402,741,60143
TSP,60256,309,60565
14,60650,379,61029
15,61029,24245,85274
16,85274,1060,86334
17,87251,2966,90217
18,90934,26013,116947
19,116947,2956,119903
20,119903,4965,124868
21,124868,21055,145923
22,145923,5590,151513
23,151513,47144,198657
24,198657,34299,232956
25,232956,2806,235762
26,235762,50893,286655
D345,287112,1020,288132
D28,289103,7767,296870
D29,296870,1080,297950
D750,298472,7992,306464
D960,322738,829,323567
D804,330716,550,331266
38,332087,25096,357183
37,357183,9659,366842
36,366842,1386,368228
35,368228,1002,369230
34,369230,8215,377445
33,377445,1242,378687
32,378687,7701,386388
31,386388,1217,387605
30,387605,4146,391751
D218,391751,123,391874
D766,391964,1620,393584
IN,392288,1161,393449
664,394412,6818,401230
IN,399625,1209,400834
663,402050,66845,468895
662,468895,9790,478685
661,478685,20421,499106
660,499106,5076,504182
659,504182,2287,506469
658,506469,2221,508690
657,508690,14831,523521
656,523521,32006,555527
655,555614,1577,557191
654,557263,35849,593112
653,593113,1947,595060
652,595060,15583,610643
651,610643,30611,641254
650,641254,57567,698821
649,698821,9517,708338
648,708911,17612,726523
647,726523,29432,755955
646,757036,1776,758812
645,758812,2209,761021
644,761021,1630,762651
643,762651,20395,783046
642,783046,10341,793387
641,793390,2045,795435
640,795437,15483,810920
R1033,810881,,810881
D638,810920,836,811756
637,811756,3091,814847
636,814847,59191,874038
635,874038,12499,886537
634,886537,1404,887941
633,887941,5543,893484
632,894366,13906,908272
631,908272,4675,912947
D757,913282,5620,918902
R736,917905,910,918815
D911,918902,76,918978
D758,918978,4825,923803
D772,923827,1723,925550
D748,925679,10974,936653
TSP,927687,186,927873
D821,936653,4397,941050
D797,941078,2780,943858
D927,943885,678,944563
D820,944597,1971,946568
D827,946569,906,947475
D879,947475,1202,948677
D216,948677,415,949092
D1020,949092,1227,950319
D828,949340,765,950105
D924,950320,59,950379
D795,950825,2152,952977
D803,952977,3591,956568
D845,958390,1537,959927
IN,958552,1200,959752
630,959933,10090,970023
629,970023,7191,977214
628,977395,2806,980201
627,980206,2894,983100
626,983100,12398,995498
625,995498,5725,1001223
624,1001223,961,1002184
R618,1001223,,1001223
623,1002184,213,1002397
622,1002397,3601,1005998
621,1006849,24863,1031712
617,1031712,13896,1045608
616,1045608,4422,1050030
615,1050995,3071,1054066
D614,1054066,15516,1069582
613,1069582,23938,1093520
