s24,24_Loc,24_length,24_end
1,483,6488,6971
D683,7042,881,7923
D851,8219,5676,13895
2,13895,10409,24304
3,24304,12817,37121
4,37524,1039,38563
5,39077,9357,48434
6,48434,4144,52578
7,52578,3242,55820
8,55820,2181,58001
R570,57191,810,58001
D793,58737,1665,60402
D11,61250,559,61809
14,61912,321,62233
15,62233,24250,86483
16,86483,1060,87543
17,88460,2966,91426
18,92143,25983,118126
19,118126,2627,120753
20,120753,6747,127500
21,127500,19046,146546
22,146546,5590,152136
23,152136,46229,198365
24,198365,34296,232661
25,232661,2806,235467
26,235467,51645,287112
D28,288316,7688,296004
D29,296085,1080,297165
30,297654,3966,301620
31,301620,1217,302837
32,302837,7700,310537
33,310537,1242,311779
34,311779,8215,319994
35,319994,1002,320996
36,320996,1386,322382
37,322382,9633,332015
38,332015,25006,357021
39,357021,8103,365124
40,367157,6934,374091
41,374091,3245,377336
42,377336,2280,379616
43,379616,21802,401418
44,401765,19162,420927
45,420927,31913,452840
46,452840,7419,460259
47,460259,38357,498616
48,498616,33884,532500
49,533070,14255,547325
50,547325,23133,570458
51,570458,9280,579738
52,579738,1839,581577
53,581577,14730,596307
54,597276,14210,611486
55,612257,19479,631736
D916,632025,1452,633477
D719,633668,326,633994
56,635457,51216,686673
D57,686673,1903,688576
D58,688577,1977,690554
59,690807,8997,699804
D550,699804,2944,702748
D887,703230,315,703545
D778,703545,4591,708136
60,708136,18604,726740
D61,726891,1144,728035
D62,728483,1342,729825
D63,731175,1048,732223
577,732364,9741,742105
576,742105,66,742171
575,742171,10313,752484
D822,752492,1125,753617
573,753617,2338,755955
D739,756940,4173,761113
D817,761721,1172,762893
570,763188,27054,790242
D880,790363,3171,793534
D878,794134,241,794375
D777,795113,1539,796652
D791,796652,2662,799314
D564,799461,1172,800633
D895,800880,730,801610
D870,801610,968,802578
569,802578,1547,804125
R1165,802578,,802578
568,804125,1084,805209
567,805975,27468,833443
566,833443,67482,900925
D565,900925,1201,902126
D563,902673,807,903480
D940,903480,1462,904942
R532,904944,67,905011
547,904987,3254,908241
546,909078,1263,910341
545,910341,48578,958919
544,958919,4128,963047
543,963047,26644,989691
542,989691,9057,998748
541,999264,4011,1003275
540,1003275,2389,1005664
539,1005664,27419,1033083
538,1033083,15116,1048199
537,1048199,15808,1064007
r354,1063958,45,1064003
D530,1066252,1408,1067660
D818,1068290,3405,1071695
D345,1071708,1021,1072729
R5,1072528,395,1072923
515,1073239,2375,1075614
514,1075614,2868,1078482
513,1078482,3251,1081733
512,1081733,18775,1100508
R808,1100444,63,1100507
497,1100565,20624,1121189
496,1121189,2037,1123226
495,1123226,2544,1125770
494,1125771,21514,1147285
493,1147285,39026,1186311
491,1186557,10912,1197469
490,1197469,6107,1203576
489,1203576,1158,1204734
488,1204734,4141,1208875
487,1208875,14261,1223136
486,1224126,2450,1226576
D485,1226576,1269,1227845
484,1227845,10486,1238331
483,1238331,1334,1239665
482,1239665,6518,1246183
D846,1246943,1415,1248358
D696,1249206,1217,1250423
478,1252217,27216,1279433
477,1279925,1577,1281502
473,1281502,15027,1296529
472,1296529,22705,1319234
D471,1319234,1479,1320713
470,1320713,10401,1331114
468,1331188,2704,1333892
467,1334699,5276,1339975
466,1339975,6726,1346701
465,1346701,4573,1351274
464,1351274,14106,1365380
463,1365380,13937,1379317
462,1379317,1432,1380749
461,1380749,2352,1383101
452,1383101,24335,1407436
451,1407436,7461,1414897
450,1414897,8098,1422995
449,1422995,23146,1446141
448,1446141,15710,1461851
447,1461851,1751,1463602
D446,1463602,1566,1465168
445,1465927,11437,1477364
444,1477364,2622,1479986
443,1479986,2131,1482117
D932,1483237,1631,1484868
441,1485056,3241,1488297
D835,1488328,6962,1495290
440,1495362,2481,1497843
439,1497861,33235,1531096
438,1531096,14018,1545114
437,1545114,1393,1546507
436,1546507,5544,1552051
D775,1554847,9294,1564141
434,1564141,21127,1585268
433,1585268,52929,1638197
432,1638197,1275,1639472
431,1639472,1434,1640906
430,1640906,10491,1651397
429,1651397,7231,1658628
428,1658628,8013,1666641
427,1666641,1380,1668021
426,1668861,13695,1682556
425,1682556,2348,1684904
424,1684904,3666,1688570
423,1689458,9075,1698533
422,1698533,2436,1700969
421,1700969,18795,1719764
420,1719764,1367,1721131
419,1721131,11483,1732614
418,1732622,8077,1740699
417,1740699,18418,1759117
416,1759610,30559,1790169
415,1790169,10555,1800724
414,1800724,15406,1816130
411,1816130,24668,1840798
410,1841395,17145,1858540
D409,1858540,23715,1882255
408,1882255,2059,1884314
407,1884314,28322,1912636
R754,1934380,9264,1943644
406,1912636,36084,1948720
405,1948720,2610,1951330
404,1951330,9963,1961293
R456,1961293,60,1961353
387,1961530,13395,1974925
386,1974925,2430,1977355
385,1977355,44651,2022006
384,2022006,1170,2023176
383,2023176,8402,2031578
381,2031700,15985,2047685
380,2047685,2908,2050593
379,2050593,36020,2086613
D378,2086613,3158,2089771
D377,2089771,2596,2092367
D376,2092423,16928,2109351
D375,2110053,2371,2112424
D374,2113234,9222,2122456
D373,2122456,3377,2125833
D372,2125987,6463,2132450
D922,2132629,1809,2134438
D875,2134439,2885,2137324
D371,2137331,26021,2163352
D370,2163352,15145,2178497
D369,2178497,16918,2195415
D368,2195415,1845,2197260
D367,2197260,1956,2199216
D366,2199216,5640,2204856
D365,2204856,6071,2210927
D364,2210927,1299,2212226
D363,2212226,10660,2222886
D362,2222886,12653,2235539
D361,2235539,5539,2241078
D360,2241786,1811,2243597
D359,2243600,6177,2249777
D358,2249777,1875,2251652
D357,2251652,18362,2270014
D356,2270014,6435,2276449
D355,2276449,1899,2278348
D354,2278348,7373,2285721
D353,2285721,15351,2301072
D352,2301072,16477,2317549
D351,2317549,10244,2327793
D350,2328734,7195,2335929
D349,2335929,12468,2348397
348,2348397,6110,2354507
347,2354507,56416,2410923
D800,2410937,1501,2412438
D773,2412438,1865,2414303
D812,2414319,1330,2415649
D780,2415649,1351,2417000
D782,2417000,1137,2418137
D725,2418835,9132,2427967
D724,2427967,18958,2446925
D752,2446925,2190,2449115
D723,2449115,29074,2478189
D479,2478945,180,2479125
D167,2479135,280,2479415
D794,2479430,763,2480193
D346,2480193,4444,2484637
D873,2484637,131,2484768
D882,2493865,4478,2498343
D1026,2498530,1630,2500160
D852,2500160,4999,2505159
D892,2505159,2899,2508058
D833,2508058,2150,2510208
D808,2510208,4168,2514376
340,2515267,70649,2585916
D339,2586883,6186,2593069
338,2593069,1452,2594521
D337,2595349,6379,2601728
D336,2601728,5236,2606964
335,2606964,12180,2619144
334,2619523,1451,2620974
333,2620974,8901,2629875
332,2630654,1200,2631854
331,2631856,3495,2635351
D728,2635362,6572,2641934
330,2641936,1143,2643079
329,2643079,13756,2656835
328,2656835,8842,2665677
327,2666901,1086,2667987
326,2667989,16228,2684217
D325,2684217,1919,2686136
324,2686138,28707,2714845
D734,2714845,10787,2725632
R647,2714845,,2714845
319,2727186,816,2728002
D743,2728002,9273,2737275
313,2737277,2650,2739927
312,2739927,12865,2752792
311,2752907,2385,2755292
310,2756341,641,2756982
309,2756982,13517,2770499
308,2770499,18635,2789134
307,2789134,16889,2806023
D306,2806026,1381,2807407
D305,2807407,1734,2809141
R4,2807458,198,2807656
R4,2809192,198,2809390
D304,2809447,1982,2811429
D300,2814421,3465,2817886
D299,2817886,12466,2830352
298,2830352,15361,2845713
297,2845713,12133,2857846
296,2857846,16358,2874204
295,2874204,10101,2884305
D845,2884739,1536,2886275
D857,2888116,1136,2889252
D803,2889331,1130,2890461
D795,2890461,2138,2892599
D924,2892599,116,2892715
D825,2893037,54,2893091
D1020,2893091,1354,2894445
D828,2893328,805,2894133
D994,2894445,597,2895042
D879,2895042,256,2895298
D820,2895298,4919,2900217
D927,2900234,143,2900377
D797,2900404,2786,2903190
D785,2903200,11828,2915028
D964,2915028,1290,2916318
D772,2916472,1723,2918195
D758,2918202,4821,2923023
R736,2923501,324,2923825
D757,2923848,4842,2928690
294,2928700,36142,2964842
293,2964842,1350,2966192
292,2966192,2349,2968541
291,2968541,20097,2988638
290,2988640,1128,2989768
289,2989770,19668,3009438
D288,3009438,1003,3010441
R396,3010375,81,3010456
287,3010441,11131,3021572
286,3021572,1424,3022996
D498,3024800,255,3025055
D389,3025055,1239,3026294
D390,3026294,114,3026408
D967,3048676,1829,3050505
D861,3051942,2047,3053989
D343,3056842,3330,3060172
D908,3061466,3810,3065276
D677,3065276,1121,3066397
D1019,3069939,364,3070303
D848,3070860,649,3071509
285,3073373,2520,3075893
D284,3075893,1009,3076902
D239,3077537,272,3077809
D238,3077809,2730,3080539
D237,3080539,385,3080924
D236,3080924,1283,3082207
D235,3082207,8937,3091144
D234,3091202,4232,3095434
D233,3095434,152,3095586
D232,3095992,1153,3097145
D231,3097148,138,3097286
D230,3097998,5036,3103034
D229,3103034,1245,3104279
D980,3104280,59,3104339
D228,3104339,487,3104826
D227,3104826,5521,3110347
D836,3110348,435,3110783
D224,3110795,9030,3119825
D225,3110842,6991,3117833
D223,3119825,181,3120006
D222,3120042,4683,3124725
D221,3125266,2784,3128050
D220,3128603,4303,3132906
D219,3133586,2536,3136122
D218,3136122,2365,3138487
D217,3140344,5820,3146164
D216,3146164,5736,3151900
R735,3152071,868,3152939
D815,3152937,8858,3161795
R735,3160929,868,3161797
D928,3161796,2365,3164161
D889,3164644,3846,3168490
D251,3168490,100,3168590
D252,3168590,1689,3170279
D248,3170287,639,3170926
D1003,3172614,1374,3173988
D1000,3174431,1401,3175832
D215,3175832,5203,3181035
D214,3181184,1974,3183158
282,3183162,7612,3190774
D281,3190774,2652,3193426
280,3194352,2086,3196438
D279,3196438,11144,3207582
278,3207582,4399,3211981
277,3211981,1398,3213379
276,3213380,3389,3216769
275,3216770,2415,3219185
274,3219185,39438,3258623
D814,3258623,1502,3260125
273,3260179,12250,3272429
272,3272429,1179,3273608
271,3273609,9617,3283226
270,3283226,13328,3296554
269,3296554,8250,3304804
268,3304804,34272,3339076
267,3339121,10302,3349423
D729,3349862,2595,3352457
D764,3352457,15859,3368316
D891,3369354,1910,3371264
D968,3371692,1513,3373205
D860,3373205,3514,3376719
D810,3376719,9218,3385937
D744,3385937,14215,3400152
262,3401022,2379,3403401
261,3403401,8637,3412038
246,3412038,18310,3430348
245,3430348,9296,3439644
244,3439644,15004,3454648
D243,3454648,205,3454853
R883,3454836,37,3454873
D862,3454856,3550,3458406
D1007,3458458,1621,3460079
D952,3460079,1198,3461277
D668,3461858,786,3462644
D737,3462644,10621,3473265
D813,3475262,4557,3479819
D669,3479819,3374,3483193
D746,3483193,12425,3495618
R883,3495613,37,3495650
