s22,22_Loc,22_length,22_end
443,2520,2157,4677
445,7300,11439,18739
D446,19498,1566,21064
447,21064,1751,22815
448,22815,15710,38525
449,38525,23146,61671
450,61671,8098,69769
451,69769,7458,77227
428,77320,8607,85927
TSP,80882,432,81314
429,85927,7099,93026
430,93026,10462,103488
431,103488,1434,104922
432,104922,1275,106197
433,106197,52900,159097
434,159097,17689,176786
D435,176786,1690,178476
436,181272,5545,186817
437,186817,1393,188210
438,188211,13996,202207
439,202207,30691,232898
452,232898,24323,257221
461,257221,2386,259607
462,259607,1438,261045
463,261045,13937,274982
464,274982,14115,289097
465,289097,4573,293670
466,293670,4153,297823
467,297823,5280,303103
468,303910,2713,306623
470,306697,10401,317098
D471,317098,1479,318577
472,318577,22702,341279
473,341279,15027,356306
477,356306,1577,357883
478,358375,26318,384693
TSP,385495,432,385927
TSP,386401,432,386833
D903,387418,182,387600
D480,388759,890,389649
D696,388997,454,389451
D846,389841,505,390346
D858,390346,1110,391456
482,393018,6576,399594
483,399594,1335,400929
484,400929,10485,411414
D485,411414,1269,412683
486,412683,2450,415133
487,416123,14261,430384
TSP,430470,432,430902
TSP,431064,432,431496
488,431572,4141,435713
489,435713,1158,436871
490,436871,6107,442978
491,442978,10986,453964
D492,454069,4563,458632
493,458632,38054,496686
494,496686,21555,518241
495,518242,2544,520786
496,520787,2036,522823
497,522823,20634,543457
R808,543515,63,543578
512,543514,18775,562289
513,562289,3252,565541
514,565541,2868,568409
515,568409,2376,570785
r354,571072,45,571117
537,571068,15811,586879
538,586879,15111,601990
539,601990,27418,629408
540,629408,2389,631797
541,631797,4013,635810
542,636326,9055,645381
543,645381,26691,672072
544,672072,4098,676170
545,676170,48502,724672
546,724672,1263,725935
547,726772,3255,730027
IN,730186,1287,731473
TSP,732321,750,733071
TSP,734942,360,735302
TSP,735321,1587,736908
D843,735977,495,736472
TSP,769272,432,769704
R532,771908,67,771975
D940,771921,76,771997
D945,771997,1473,773470
D266,773491,1020,774511
TSP,773545,264,773809
TSP,773841,843,774684
D265,774511,88,774599
D747,774714,15049,789763
TSP,789884,432,790316
D730,790393,24271,814664
TSP,795586,432,796018
D759,814664,1446,816110
D167,816110,280,816390
TSP,816959,309,817268
D565,817336,514,817850
566,817850,67514,885364
567,885364,27485,912849
568,913615,1084,914699
R1165,913615,,913615
569,914699,1561,916260
D1007,916971,2037,919008
D952,919008,1197,920205
D668,920786,786,921572
D737,921572,10626,932198
D813,934186,4557,938743
D669,940250,7593,947843
D886,948983,3896,952879
D921,954543,1180,955723
IN,957027,1203,958230
D870,958427,86,958513
D895,958513,1010,959523
IN,958756,996,959752
D937,960200,742,960942
D798,961119,1995,963114
TSP,963179,309,963488
D719,963257,610,963867
TSP,963601,741,964342
D777,964353,2347,966700
D919,966892,306,967198
D933,967432,384,967816
D880,968424,757,969181
570,971773,27018,998791
