s4,4_Loc,4_length,4_end
D82,370,4878,5248
81,5248,8806,14054
80,14726,2277,17003
79,17003,4360,21363
78,21363,1655,23018
77,23019,1056,24075
76,24076,2503,26579
75,26584,10786,37370
D74,37370,3391,40761
73,40761,1784,42545
72,42545,1245,43790
71,43790,8567,52357
70,52357,5373,57730
69,57730,9843,67573
68,67573,7781,75354
67,75354,1002,76356
66,76356,6507,82863
65,83194,7762,90956
64,90956,17452,108408
D1010,113640,1075,114715
60,115000,18707,133707
D548,133719,2508,136227
D778,134862,160,135022
D549,136411,748,137159
D550,137269,2944,140213
59,140213,8992,149205
D58,149466,1977,151443
D57,151444,1903,153347
56,153347,51254,204601
IN,204800,138,204938
55,204935,12617,217552
54,218323,14210,232533
53,233502,14758,248260
52,248260,1839,250099
51,250099,9280,259379
50,259379,23255,282634
49,282634,14254,296888
48,297458,33935,331393
47,331393,38406,369799
46,369799,7419,377218
45,377218,31913,409131
44,409131,19198,428329
43,428676,21802,450478
42,450478,2280,452758
41,452758,3245,456003
40,456003,7689,463692
39,465725,8103,473828
38,473832,25086,498918
37,498918,9659,508577
36,508577,1386,509963
35,509963,1004,510967
34,510967,8215,519182
33,519182,1242,520424
32,520424,7700,528124
31,528124,1217,529341
30,529341,3966,533307
D29,533795,1080,534875
D28,534875,7769,542644
TSP,542772,186,542958
TSP,542987,792,543779
26,543853,51768,595621
25,595621,2806,598427
24,598427,34289,632716
23,632716,46230,678946
22,678946,5590,684536
21,684536,19049,703585
20,703585,6747,710332
19,710332,2626,712958
18,712959,25963,738922
17,739639,2966,742605
16,743522,1060,744582
15,744582,24254,768836
14,768836,284,769120
TSP,770064,741,770805
D1025,770279,1014,771293
TSP,770918,309,771227
D793,771394,1398,772792
R570,773528,794,774322
D866,774564,1296,775860
D9,775860,3135,778995
R570,778995,795,779790
8,778995,2182,781177
7,781177,3242,784419
6,784419,4144,788563
5,788563,9353,797916
4,798430,1039,799469
3,799872,12817,812689
2,812689,10470,823159
1,823159,6314,829473
722,830054,3913,833967
721,833968,14079,848047
720,848557,2715,851272
717,851272,9616,860888
716,862077,1192,863269
715,863269,2025,865294
714,865294,15537,880831
713,881645,18022,899667
712,899667,10696,910363
711,910363,24974,935337
710,935337,20507,955844
709,955844,8880,964724
708,964732,1117,965849
707,965852,30349,996201
706,996693,19586,1016279
705,1016279,1290,1017569
704,1017569,16285,1033854
703,1033855,1155,1035010
702,1035011,24986,1059997
D62,1059997,702,1060699
701,1060700,2479,1063179
D63,1063183,239,1063422
700,1063422,81229,1144651
699,1144651,3747,1148398
698,1148398,799,1149197
693,1149197,4180,1153377
692,1154289,15260,1169549
691,1169549,1759,1171308
D690,1171308,5661,1176969
689,1176969,9576,1186545
688,1188467,1917,1190384
687,1190384,22773,1213157
686,1213157,2751,1215908
685,1215908,29244,1245152
684,1245152,13470,1258622
682,1258622,7913,1266535
681,1266535,8327,1274862
680,1274862,18113,1292975
r436,1292951,45,1292996
673,1292975,11411,1304386
664,1304386,4589,1308975
663,1308975,66690,1375665
662,1375665,9791,1385456
661,1385456,20459,1405915
660,1405915,5076,1410991
659,1410991,2288,1413279
658,1413279,2221,1415500
657,1415500,14822,1430322
656,1430322,31991,1462313
655,1462400,1577,1463977
654,1464049,38189,1502238
653,1502239,1947,1504186
652,1504186,15582,1519768
651,1519768,30602,1550370
650,1550370,55839,1606209
649,1606209,9517,1615726
648,1616299,17612,1633911
647,1633911,28454,1662365
646,1663446,1776,1665222
645,1665222,2209,1667431
644,1667431,1630,1669061
643,1669061,20386,1689447
642,1689447,10340,1699787
641,1699790,2045,1701835
640,1701837,15483,1717320
R1033,1717281,,1717281
D638,1717320,836,1718156
637,1718156,3091,1721247
636,1721247,59137,1780384
635,1780384,12498,1792882
634,1792882,1404,1794286
633,1794286,5543,1799829
632,1800711,13906,1814617
631,1814617,4676,1819293
630,1819294,10090,1829384
629,1829384,7193,1836577
628,1836758,2807,1839565
627,1839570,2894,1842464
626,1842464,12393,1854857
625,1854857,5726,1860583
624,1860583,1010,1861593
R618,1861474,82,1861556
D878,1865120,446,1865566
D777,1866303,602,1866905
D881,1867778,2686,1870464
D564,1870641,2709,1873350
R618,1873325,82,1873407
IN,1871828,1002,1872830
623,1873350,4945,1878295
IN,1875651,864,1876515
622,1890567,6406,1896973
IN,1891949,1212,1893161
621,1897824,24876,1922700
617,1922700,13938,1936638
616,1936638,4422,1941060
615,1942025,3116,1945141
D614,1945141,17655,1962796
613,1962796,22497,1985293
612,1985293,14002,1999295
611,1999295,49262,2048557
R353,2048512,45,2048557
610,2048557,4430,2052987
609,2052987,2011,2054998
608,2054998,9056,2064054
607,2064054,1732,2065786
606,2065786,2155,2067941
605,2067941,8936,2076877
604,2076877,25472,2102349
603,2102349,1598,2103947
602,2104042,1613,2105655
601,2105655,8169,2113824
600,2113824,44349,2158173
599,2158173,1103,2159276
598,2159276,3213,2162489
597,2162489,59137,2221626
596,2221626,6352,2227978
595,2227978,9616,2237594
594,2237600,1347,2238947
593,2238947,4835,2243782
592,2244387,29477,2273864
591,2273864,3503,2277367
590,2277367,9497,2286864
589,2287317,1551,2288868
588,2288868,1679,2290547
587,2290547,2630,2293177
