s3,3_Loc,3_Length,3_end
1,483,6325,6808
2,6808,10496,17304
3,17304,12815,30119
4,30522,1039,31561
5,32075,9354,41429
6,41429,4144,45573
7,45573,2980,48553
8,48553,2181,50734
R570,50216,810,51026
D9,51496,1305,52801
D10,52801,875,53676
14,53797,275,54072
15,54072,24250,78322
16,78322,1061,79383
17,80300,2966,83266
18,83983,25995,109978
19,109978,2956,112934
20,112934,6747,119681
21,119681,19054,138735
22,138735,5592,144327
23,144327,47162,191489
24,191489,32181,223670
25,223670,2806,226476
26,226476,62775,289251
30,289285,3966,293251
31,293251,1217,294468
32,294468,7697,302165
33,302165,1242,303407
34,303407,8214,311621
35,311621,1002,312623
36,312623,1386,314009
37,314009,9659,323668
38,323668,25092,348760
39,348760,8103,356863
40,358896,7688,366584
41,366584,3245,369829
42,369829,2280,372109
43,372109,21791,393900
44,394247,19816,414063
45,414063,31914,445977
46,445977,7431,453408
47,453408,38299,491707
48,491707,33941,525648
49,526218,14243,540461
50,540461,21400,561861
51,561861,9280,571141
52,571141,1839,572980
53,572980,14729,587709
54,588678,14210,602888
55,603659,12631,616290
IN,616287,162,616449
56,616623,51143,667766
D57,667766,1903,669669
D58,669670,1977,671647
59,671900,3421,675321
60,675321,18604,693925
D61,694138,1146,695284
D62,695733,1341,697074
D63,698424,1048,699472
64,700517,17452,717969
65,717969,7762,725731
66,726062,6507,732569
67,732569,1002,733571
68,733571,7780,741351
69,741351,9844,751195
70,751195,5373,756568
71,756568,8567,765135
72,765135,1223,766358
73,766358,1797,768155
D74,768155,3391,771546
75,771546,10789,782335
76,782335,2503,784838
77,784839,1056,785895
78,785896,1655,787551
79,787551,4360,791911
80,791911,2277,794188
81,794863,4553,799416
D82,799416,2126,801542
D83,801542,2579,804121
D84,804121,4736,808857
D986,810864,1033,811897
D890,812855,622,813477
D991,813498,1382,814880
D931,814880,1755,816635
D85,817441,1923,819364
D86,819364,8235,827599
D87,827599,4394,831993
D88,831993,7117,839110
D89,839110,21097,860207
D90,860257,1243,861500
D91,861501,16860,878361
92,878361,15241,893602
93,893602,4690,898292
D94,898292,1997,900289
95,901258,14584,915842
96,916589,3688,920277
97,920779,2557,923336
D98,923336,1571,924907
99,924907,15703,940610
100,940610,20077,960687
101,960687,13205,973892
102,973892,1585,975477
103,975477,9037,984514
104,984514,1678,986192
105,986822,14442,1001264
106,1001266,1144,1002410
107,1002411,7020,1009431
108,1009742,17867,1027609
109,1027609,2388,1029997
110,1029997,10977,1040974
111,1040974,382,1041356
112,1041356,2073,1043429
113,1043429,61,1043490
114,1043490,7266,1050756
115,1051336,1351,1052687
116,1052687,47471,1100158
117,1100158,3310,1103468
118,1103468,4164,1107632
119,1107632,26826,1134458
120,1134458,17097,1151555
D121,1151665,2302,1153967
122,1153970,8462,1162432
123,1162432,2194,1164626
124,1165111,12831,1177942
125,1177942,12252,1190194
126,1191268,10945,1202213
127,1202213,1537,1203750
R846,1203997,94,1204091
128,1204073,57572,1261645
129,1272318,21402,1293720
130,1293720,21536,1315256
136,1315256,10252,1325508
137,1325508,1716,1327224
138,1327224,9750,1336974
139,1336974,5005,1341979
140,1341981,1674,1343655
141,1343657,22793,1366450
142,1366450,1143,1367593
143,1367593,2638,1370231
144,1370232,8489,1378721
145,1378721,3078,1381799
146,1381799,12475,1394274
147,1394274,19199,1413473
148,1413474,1063,1414537
149,1414537,9455,1423992
150,1425321,5065,1430386
151,1430386,13027,1443413
152,1443413,34901,1478314
153,1478314,10233,1488547
154,1488547,5289,1493836
155,1493836,11787,1505623
156,1505623,49836,1555459
157,1555460,3162,1558622
158,1558623,2050,1560673
159,1560868,6550,1567418
160,1567418,34734,1602152
161,1602239,1342,1603581
162,1603583,3439,1607022
163,1607022,30526,1637548
164,1637548,8066,1645614
165,1645614,15151,1660765
166,1661752,38771,1700523
171,1700523,7886,1708409
172,1708409,1158,1709567
173,1710231,15166,1725397
174,1725397,1716,1727113
175,1727113,3725,1730838
176,1730838,58609,1789447
177,1789447,10727,1800174
178,1800174,36405,1836579
179,1836891,1270,1838161
180,1838161,27837,1865998
181,1865998,14047,1880045
182,1880045,11041,1891086
183,1891086,28163,1919249
184,1919249,1161,1920410
