s25,25_Loc,25_length,25_end
1,483,6325,6808
2,6808,10473,17281
3,17281,12817,30098
4,30501,1039,31540
5,32054,9353,41407
6,41407,4144,45551
7,45551,3242,48793
8,48793,2181,50974
D793,51710,1398,53108
14,56084,283,56367
15,56367,24975,81342
R570,57191,810,58001
16,81342,1060,82402
17,83319,2966,86285
18,87002,25980,112982
19,112982,2627,115609
20,115609,4965,120574
21,120574,21055,141629
22,141629,5590,147219
23,147219,46263,193482
24,193482,34289,227771
25,227771,5063,232834
D786,232834,4012,236846
26,236846,51464,288310
D28,289511,7688,297199
D29,297280,1080,298360
30,298849,3966,302815
31,302815,1217,304032
32,304032,7683,311715
33,311715,1242,312957
34,312957,8214,321171
35,321171,1004,322175
36,322175,1386,323561
37,323561,9659,333220
38,333220,25086,358306
39,358310,8081,366391
40,368424,6932,375356
41,375356,3242,378598
42,378598,2280,380878
43,380878,21802,402680
44,403027,19187,422214
45,422214,31912,454126
46,454126,7419,461545
47,461545,38284,499829
TSP,500104,1017,501121
48,501200,34339,535539
49,536109,14253,550362
50,550362,24212,574574
51,574574,9283,583857
52,583857,1839,585696
53,585696,14730,600426
54,601395,14210,615605
55,616376,13770,630146
56,630480,51215,681695
D57,681695,1903,683598
D58,683599,1977,685576
59,685829,8997,694826
D550,694826,2944,697770
D887,698252,315,698567
D778,698567,4591,703158
60,703158,18604,721762
D61,721975,1146,723121
D62,723569,1342,724911
D63,726261,1048,727309
577,727452,9740,737192
576,737192,66,737258
575,737258,10312,747570
D822,747578,1125,748703
573,748703,2338,751041
D739,752026,4173,756199
D817,756807,1172,757979
570,758274,27056,785330
D925,785449,2821,788270
D880,788471,64,788535
D878,789135,241,789376
D777,790114,2317,792431
D798,792431,1995,794426
D564,794603,1172,795775
IN,795793,984,796777
D895,796022,730,796752
D870,796752,968,797720
569,797720,1547,799267
R1165,797720,,797720
568,799267,1084,800351
567,801117,27484,828601
566,828601,67480,896081
D565,896081,3556,899637
D802,899637,1761,901398
R532,901470,67,901537
547,901514,3254,904768
546,905605,1263,906868
545,906868,48503,955371
544,955371,4128,959499
543,959499,26643,986142
542,986142,9055,995197
541,995713,4012,999725
540,999725,2389,1002114
539,1002114,27418,1029532
538,1029532,15095,1044627
537,1044627,15805,1060432
r354,1060387,45,1060432
D530,1062682,1408,1064090
D526,1064842,61,1064903
D818,1065081,3044,1068125
D266,1068139,1020,1069159
R5,1068958,395,1069353
D265,1069159,88,1069247
515,1069669,2377,1072046
514,1072046,2885,1074931
513,1074931,3252,1078183
512,1078183,18775,1096958
R808,1096894,63,1096957
497,1097015,20622,1117637
496,1117637,2037,1119674
495,1119674,2544,1122218
494,1122219,21554,1143773
493,1143773,39024,1182797
491,1183043,10913,1193956
490,1193956,6107,1200063
489,1200063,1158,1201221
488,1201221,4141,1205362
487,1205362,14259,1219621
486,1220611,2449,1223060
D485,1223060,1269,1224329
484,1224329,10487,1234816
483,1234816,1335,1236151
482,1236151,6518,1242669
D858,1243420,1110,1244530
D846,1244530,505,1245035
D696,1245883,1218,1247101
478,1248899,27218,1276117
477,1276609,1577,1278186
473,1278186,15027,1293213
472,1293213,22703,1315916
D471,1315916,1479,1317395
470,1317395,10401,1327796
468,1327872,2704,1330576
467,1331383,5276,1336659
466,1336659,6726,1343385
465,1343385,4573,1347958
464,1347958,14116,1362074
463,1362074,13937,1376011
462,1376011,1432,1377443
461,1377443,2352,1379795
452,1379795,24334,1404129
451,1404129,7473,1411602
450,1411602,8098,1419700
449,1419700,23147,1442847
448,1442847,15709,1458556
447,1458556,1751,1460307
D446,1460307,1566,1461873
445,1462632,11443,1474075
444,1474075,2624,1476699
443,1476699,2131,1478830
D900,1478862,1351,1480213
D771,1481235,8379,1489614
441,1489813,3241,1493054
440,1493082,2416,1495498
439,1495516,33299,1528815
438,1528815,14007,1542822
437,1542822,1393,1544215
436,1544215,5544,1549759
D435,1552555,1690,1554245
434,1554245,17689,1571934
433,1571934,52853,1624787
432,1624787,1275,1626062
431,1626062,1434,1627496
430,1627496,10493,1637989
429,1637989,7098,1645087
428,1645087,8013,1653100
427,1653100,1380,1654480
426,1655320,13695,1669015
425,1669015,2348,1671363
424,1671363,3615,1674978
423,1675866,9075,1684941
422,1684941,2436,1687377
421,1687377,18794,1706171
420,1706171,1367,1707538
419,1707538,11495,1719033
418,1719041,8077,1727118
417,1727118,18415,1745533
416,1746026,30560,1776586
415,1776586,10556,1787142
414,1787142,15406,1802548
411,1802548,24677,1827225
410,1827822,17174,1844996
D409,1844996,23709,1868705
408,1868705,2059,1870764
407,1870764,28187,1898951
406,1898951,36084,1935035
R754,1920695,9264,1929959
405,1935035,2610,1937645
404,1937645,9962,1947607
R456,1947607,60,1947667
387,1947844,13383,1961227
386,1961227,2430,1963657
385,1963657,44651,2008308
384,2008308,1170,2009478
383,2009478,8401,2017879
381,2018001,15985,2033986
380,2033986,2909,2036895
