s5,5_Loc,5_Length,5_end
1,483,6314,6797
2,6797,10471,17268
3,17268,12817,30085
4,30488,1039,31527
5,32041,9353,41394
6,41394,4144,45538
7,45538,3242,48780
8,48780,2181,50961
R570,50216,810,51026
D793,51697,1398,53095
D11,55197,559,55756
14,55897,283,56180
15,56180,24249,80429
16,80429,1060,81489
17,82406,2966,85372
18,86089,25974,112063
19,112063,2627,114690
20,114690,6747,121437
21,121437,19054,140491
22,140491,5590,146081
23,146081,46231,192312
24,192312,34288,226600
25,226600,2806,229406
26,229406,51848,281254
D28,282461,7688,290149
D29,290230,1080,291310
30,291799,3966,295765
31,295765,1217,296982
32,296982,7700,304682
33,304682,1242,305924
34,305924,8215,314139
35,314139,1004,315143
36,315143,1386,316529
37,316529,9659,326188
38,326188,25087,351275
39,351279,8103,359382
40,361415,7689,369104
41,369104,3245,372349
42,372349,2280,374629
43,374629,21790,396419
44,396766,19189,415955
45,415955,31912,447867
46,447867,7419,455286
47,455286,38303,493589
48,493589,34234,527823
49,528393,14254,542647
50,542647,24212,566859
51,566859,9280,576139
52,576139,1839,577978
53,577978,14730,592708
54,593677,14210,607887
55,608658,12617,621275
56,621609,51250,672859
D57,672859,1903,674762
D58,674763,1977,676740
59,676993,3421,680414
60,680414,18604,699018
D61,699231,1146,700377
D62,700825,1342,702167
D63,703517,1047,704564
64,705609,17452,723061
65,723061,7762,730823
66,731154,6507,737661
67,737661,1002,738663
68,738663,7787,746450
69,746450,9844,756294
70,756294,5373,761667
71,761667,8567,770234
72,770234,1223,771457
73,771457,1855,773312
D74,773312,3391,776703
75,776703,10789,787492
76,787492,2503,789995
77,789996,1056,791052
78,791053,1639,792692
79,792692,4360,797052
80,797052,2277,799329
81,800001,8806,808807
D82,808807,2126,810933
D83,810933,2578,813511
D84,813511,4735,818246
D85,820044,2139,822183
D86,822183,8237,830420
D87,830420,4410,834830
D88,834830,7948,842778
D89,842778,21097,863875
D992,863875,1466,865341
D561,866463,1510,867973
D558,872266,950,873216
D555,875936,4471,880407
D554,880408,909,881317
D807,881329,87,881416
D553,881663,1324,882987
D926,898231,1824,900055
D548,903066,893,903959
D90,906069,1243,907312
D91,907313,16859,924172
92,924172,15242,939414
93,939414,7246,946660
D735,946660,4104,950764
95,951733,17558,969291
96,970038,3673,973711
97,974213,2557,976770
D98,976770,1604,978374
99,978374,15149,993523
100,993523,20159,1013682
101,1013682,13205,1026887
102,1026887,1585,1028472
103,1028472,9036,1037508
104,1037508,1678,1039186
105,1039816,14443,1054259
106,1054261,1144,1055405
107,1055406,7022,1062428
108,1062739,17880,1080619
109,1080619,2388,1083007
110,1083007,10977,1093984
111,1093984,382,1094366
112,1094366,2073,1096439
113,1096439,61,1096500
114,1096500,7266,1103766
115,1104346,1351,1105697
116,1105697,45838,1151535
117,1151535,3310,1154845
118,1154845,4164,1159009
119,1159009,27072,1186081
120,1186081,17014,1203095
122,1203265,8462,1211727
123,1211727,2208,1213935
124,1214420,10942,1225362
125,1225362,7971,1233333
126,1233333,13033,1246366
127,1246366,2482,1248848
R846,1248852,94,1248946
128,1248929,58299,1307228
129,1307340,25892,1333232
130,1333232,21535,1354767
IN,1345993,897,1346890
136,1354767,10252,1365019
137,1365019,1716,1366735
138,1366735,9749,1376484
139,1376484,5008,1381492
140,1381494,1674,1383168
141,1383170,22813,1405983
142,1405983,1142,1407125
143,1407125,2638,1409763
144,1409764,8489,1418253
145,1418253,3078,1421331
146,1421331,12516,1433847
D401,1433847,4342,1438189
IN,1433854,1104,1434958
D948,1438263,425,1438688
D850,1438704,5738,1444442
D559,1444903,3234,1448137
D934,1448142,1191,1449333
D915,1450935,816,1451751
D1002,1451760,60,1451820
D905,1452668,1744,1454412
D738,1454412,13035,1467447
D894,1469707,1831,1471538
D826,1471538,2016,1473554
D983,1474628,1580,1476208
147,1476544,19254,1495798
148,1495799,1063,1496862
149,1496862,9455,1506317
150,1507646,5065,1512711
151,1512711,13027,1525738
152,1525738,34901,1560639
153,1560639,10213,1570852
D941,1571755,915,1572670
154,1572670,5028,1577698
155,1577698,11786,1589484
156,1589484,49802,1639286
157,1639287,3162,1642449
158,1642450,2068,1644518
159,1644713,6550,1651263
160,1651263,27544,1678807
161,1678894,1342,1680236
162,1680238,3724,1683962
D841,1683962,4148,1688110
TSP,1686005,2070,1688075
D133,1688110,21904,1710014
D134,1710014,1845,1711859
D135,1711859,7615,1719474
D460,1719474,906,1720380
163,1720917,30337,1751254
164,1751254,8065,1759319
165,1759319,15151,1774470
166,1775457,38885,1814342
D665,1815893,729,1816622
D667,1817054,2309,1819363
D954,1819379,1101,1820480
D683,1820682,819,1821501
TSP,1820964,822,1821786
D170,1821830,2820,1824650
171,1824650,2456,1827106
172,1827106,1158,1828264
173,1829465,14003,1843468
174,1843468,1716,1845184
175,1845184,3725,1848909
176,1848909,58707,1907616
177,1907616,10735,1918351
178,1918351,36406,1954757
179,1955069,1270,1956339
180,1956339,27817,1984156
181,1984156,9212,1993368
182,1993368,11039,2004407
183,2004407,28158,2032565
184,2032565,1161,2033726
185,2033726,8592,2042318
186,2042318,1077,2043395
187,2043395,24014,2067409
188,2067409,21449,2088858
189,2089378,14394,2103772
190,2104436,11023,2115459
191,2115849,8942,2124791
192,2124791,1405,2126196
193,2126197,32409,2158606
D805,2158661,1505,2160166
D194,2160166,1126,2161292
195,2161292,2845,2164137
196,2164137,5469,2169606
197,2170597,29299,2199896
198,2199896,9333,2209229
199,2209229,43680,2252909
200,2252909,17425,2270334
201,2270334,1245,2271579
202,2271580,7042,2278622
203,2278622,5784,2284406
204,2284410,5254,2289664
205,2289664,1053,2290717
206,2290717,5514,2296231
207,2296232,1017,2297249
208,2297250,12278,2309528
209,2310147,6120,2316267
210,2316267,6477,2322744
211,2323337,52094,2375431
212,2375431,42709,2418140
213,2419033,2356,2421389
D240,2421557,2007,2423564
D241,2423564,4916,2428480
242,2428480,18975,2447455
R883,2447439,37,2447476
D243,2447458,205,2447663
244,2447663,17252,2464915
245,2464915,9295,2474210
246,2474210,18309,2492519
261,2492519,8635,2501154
262,2501155,2379,2503534
D266,2505135,1020,2506155
TSP,2505189,264,2505453
D27,2506244,5900,2512144
D1004,2512572,1361,2513933
D796,2514908,7817,2522725
D745,2522725,16004,2538729
IN,2538613,1338,2539951
D729,2538738,1543,2540281
D848,2540281,2290,2542571
IN,2540392,1113,2541505
D552,2542571,1594,2544165
D265,2544304,289,2544593
D345,2544639,774,2545413
TSP,2545094,264,2545358
D847,2545428,2916,2548344
D479,2549105,181,2549286
267,2549287,10255,2559542
268,2559587,33775,2593362
269,2593362,8251,2601613
270,2601613,13326,2614939
271,2614939,9615,2624554
272,2624555,1179,2625734
273,2625734,12250,2637984
D814,2638038,1502,2639540
274,2639540,39437,2678977
275,2678977,2415,2681392
276,2681393,3390,2684783
277,2684783,1398,2686181
278,2686182,5755,2691937
IN,2690501,1026,2691527
D921,2692826,1381,2694207
D947,2694207,92,2694299
D877,2694983,812,2695795
D788,2695795,3564,2699359
D943,2699940,2223,2702163
D509,2702163,1148,2703311
D394,2703311,1324,2704635
D842,2704635,3380,2708015
D393,2708681,1348,2710029
D392,2711246,2246,2713492
D506,2713492,4983,2718475
D391,2718475,3319,2721794
D505,2721794,400,2722194
D1012,2722241,1230,2723471
D503,2723572,3317,2726889
D999,2727584,1405,2728989
D501,2729590,668,2730258
D500,2730392,3655,2734047
D901,2734494,3325,2737819
D388,2738911,887,2739798
D862,2739800,502,2740302
D279,2740571,11144,2751715
D869,2751715,2270,2753985
D520,2754354,935,2755289
280,2755289,30254,2785543
D281,2786469,2652,2789121
282,2789121,7612,2796733
D214,2796737,1974,2798711
IN,2796936,1944,2798880
D732,2798860,40928,2839788
D221,2839790,2783,2842573
D222,2843114,4702,2847816
D223,2847854,179,2848033
D224,2848033,9098,2857131
D225,2850053,7031,2857084
D756,2857131,6207,2863338
D836,2863338,1624,2864962
D227,2864963,5528,2870491
D228,2870491,176,2870667
D229,2870707,1245,2871952
D230,2871952,5055,2877007
D996,2877720,1017,2878737
D803,2878045,492,2878537
D231,2878739,116,2878855
D232,2878858,1122,2879980
D896,2879980,894,2880874
D529,2880874,546,2881420
TSP,2881389,516,2881905
D528,2881425,240,2881665
