s23,23_Loc,23_length,23_end
1,483,6314,6797
2,6797,10472,17269
3,17269,12817,30086
4,30489,1039,31528
5,32042,9353,41395
6,41395,4144,45539
7,45539,3242,48781
8,48781,2181,50962
R570,50168,794,50962
D793,51698,1665,53363
D11,54209,559,54768
14,54855,275,55130
15,55130,24251,79381
16,79381,1060,80441
17,81358,2966,84324
18,85041,26016,111057
19,111057,2627,113684
20,113684,4965,118649
21,118649,21055,139704
22,139704,5590,145294
23,145294,46233,191527
24,191527,34289,225816
25,225816,5063,230879
D786,230879,4012,234891
26,234891,52151,287042
30,287076,3966,291042
31,291042,1217,292259
32,292259,7700,299959
33,299959,1242,301201
34,301201,8215,309416
35,309416,1002,310418
36,310418,1386,311804
37,311804,9659,321463
38,321463,25001,346464
39,346468,8103,354571
40,356604,7689,364293
41,364293,3245,367538
42,367538,2280,369818
43,369818,21802,391620
44,391967,19180,411147
45,411147,31912,443059
46,443059,7419,450478
47,450478,38300,488778
48,488778,34201,522979
49,523549,14255,537804
50,537804,24349,562153
51,562153,9280,571433
52,571433,1839,573272
53,573272,14730,588002
54,588971,14211,603182
55,603953,12616,616569
56,620924,45361,666285
59,666285,6866,673151
D550,673151,2944,676095
D887,676577,315,676892
D778,676892,4591,681483
60,681483,18610,700093
D61,700306,1146,701452
D62,701900,1342,703242
D63,704592,1047,705639
627,705645,2894,708539
626,708539,12400,720939
625,720939,5716,726655
624,726655,988,727643
R618,726655,,726655
D878,731173,1244,732417
D777,733155,2384,735539
D798,735539,1995,737534
D564,737711,3176,740887
R618,737711,,737711
623,740887,270,741157
622,741157,3601,744758
621,745609,24876,770485
617,770485,13922,784407
616,784407,4422,788829
615,789794,3116,792910
D614,792910,17652,810562
613,810562,22496,833058
612,833058,14004,847062
611,847062,49262,896324
R353,896279,45,896324
D536,898784,1146,899930
D768,899930,16204,916134
D534,916239,1297,917536
D533,917552,1358,918910
D532,919253,1378,920631
D531,920631,1414,922045
R1012,921877,218,922095
D884,924812,34,924846
D526,925084,3496,928580
D525,928580,5097,933677
D524,933713,1912,935625
D523,935625,1368,936993
R790,935625,,935625
D522,937782,2427,940209
D521,940209,2831,943040
D859,943311,350,943661
D13,943661,788,944449
D811,944890,5047,949937
D529,949937,1811,951748
D520,951748,934,952682
R338,951757,2419,954176
D519,953029,1004,954033
